track_name|track_uri|danceability|energy|speechiness|instrumentalness|tempo|acousticness|duration_ms|key|liveness|loudness|mode|time_signature|type|valence
Si Tu Novio Te Deja Sola|0RFFFGtPn6a58RHY3ccVYX|0.716|0.461|0.0614|0.0|121.99|0.545|243560|3|0.102|-9.455|0|4|audio_features|0.535
Ain't It Different (feat. AJ Tracey & Stormzy)|4C4n9gQPyjP7gMzldsjp4a|0.767|0.564|0.27|2.35e-05|77.034|0.0101|196200|4|0.11|-6.794|0|4|audio_features|0.557
Beautiful|1OilOIju6R9ia8vilNjChh|0.666|0.677|0.0326|0.0|100.014|0.214|178242|2|0.0979|-5.743|1|4|audio_features|0.178
Tyler Herro|3w1WjD2zJqjBjDz5fwqQPJ|0.792|0.793|0.0841|0.0|123.031|0.0872|156578|5|0.22|-6.185|0|4|audio_features|0.775
Lay Your Head On Me (feat. Marcus Mumford)|0oB9964bp22Bmok0Dmxlzb|0.658|0.765|0.0469|1.02e-05|119.974|0.0471|199895|11|0.0936|-7.002|0|4|audio_features|0.222
Somebody|0pYUyZ3aQR1fAOdhXfoD3R|0.547|0.753|0.0463|8.72e-05|75.999|0.000286|179415|2|0.12|-7.677|1|4|audio_features|0.375
Si Veo a Tu Mamá|41wtwzCZkXwpnakmwJ239F|0.9|0.603|0.0646|4.81e-06|129.928|0.402|170972|2|0.134|-5.313|1|4|audio_features|0.824
PRIDE.|6IZvVAP7VPPnsGX6bvgkqg|0.665|0.535|0.0572|1.68e-05|138.842|0.0786|275253|4|0.154|-7.056|0|4|audio_features|0.37
Issues|7vu0JkJh0ldukEYbTVcqd0|0.728|0.415|0.0639|0.0|114.145|0.401|176320|8|0.0616|-6.852|1|4|audio_features|0.455
Old Town Road (feat. Billy Ray Cyrus) - Remix|4O4HtthxTvVL1Z1PuDb7GX|0.878|0.619|0.102|0.0|136.041|0.0533|157067|6|0.113|-5.56|1|4|audio_features|0.639
Prinzessa|7r55d7IhAj5UGKiYbXBwRP|0.732|0.583|0.125|1.97e-05|100.464|0.519|178000|7|0.108|-6.766|1|4|audio_features|0.277
Fukk Sleep (feat. FKA twigs)|1AqemxWsT0iGg5Lvkm16Bt|0.798|0.412|0.36|7.43e-05|135.959|0.443|192973|2|0.219|-9.305|1|4|audio_features|0.304
Not 20 Anymore|7vWbERTWGCiu6fil02e9kj|0.659|0.553|0.0286|5.1e-06|89.978|0.43|183983|11|0.198|-4.809|0|3|audio_features|0.401
Single Again|7IP0lO9tHfNwBWZ9X6TJ84|0.635|0.677|0.0909|0.0|94.95|0.161|213733|10|0.154|-5.548|1|4|audio_features|0.253
Saint|7foypmc7KZyU716Yv63BPe|0.866|0.648|0.0543|0.0|150.058|0.009|140793|1|0.0967|-3.675|1|4|audio_features|0.0798
7 Summers|4obHzpwGrjoTuZh2DItEMZ|0.466|0.786|0.0328|6.1e-05|203.903|0.417|210507|0|0.125|-5.13|1|4|audio_features|0.571
Weiss|38YP1STiBe3AZevFFJILf4|0.6|0.525|0.423|0.0|96.989|0.393|162702|2|0.111|-6.585|0|4|audio_features|0.436
Ritual|3M9Apu4OZfylLTFKvgEtKa|0.647|0.726|0.0552|0.0|114.996|0.157|198996|3|0.0844|-4.389|0|4|audio_features|0.767
